"species","lon","lat"
"Neovison vison",-3.3,40.97
"Neovison vison",-3.65,41.05
"Neovison vison",-3.65,40.87
"Neovison vison",-4,40.6
"Neovison vison",-3.9,41.86
"Neovison vison",-3.88,40.33
"Neovison vison",-4,40.06
"Neovison vison",-4.02,41.86
"Neovison vison",-3.77,40.42
"Neovison vison",-3.66,41.14
"Neovison vison",-3.79,42.04
"Neovison vison",-3.53,40.69
"Neovison vison",-3.89,40.6
"Neovison vison",-4.03,42.04
"Neovison vison",-4.14,41.77
"Neovison vison",-4.15,42.31
"Neovison vison",-3.53,40.97
"Neovison vison",-3.18,41.51
"Neovison vison",-3.9,41.95
"Neovison vison",-3.89,40.51
"Neovison vison",-3.42,40.88
"Neovison vison",-3.3,41.24
"Neovison vison",-3.3,40.7
"Neovison vison",-3.79,42.31
"Neovison vison",-3.91,42.22
"Neovison vison",-3.54,41.15
"Neovison vison",-4.03,42.31
"Neovison vison",-3.78,41.59
"Neovison vison",-3.78,41.86
"Neovison vison",2.34,41.59
"Neovison vison",-3.06,41.51
"Neovison vison",-3.91,42.31
"Neovison vison",-3.53,40.78
"Neovison vison",-3.78,41.68
"Neovison vison",-4.03,42.22
"Neovison vison",-4.15,42.13
"Neovison vison",1.62,41.59
"Neovison vison",-3.66,41.32
"Neovison vison",-3.18,41.15
"Neovison vison",-3.79,42.13
"Neovison vison",-4.03,42.4
"Neovison vison",-3.91,42.04
"Neovison vison",-2.45,42.95
"Neovison vison",-3.9,41.68
"Neovison vison",-4.03,42.13
"Neovison vison",-3.79,42.4
"Neovison vison",-3.3,40.88
"Neovison vison",-3.79,42.22
"Neovison vison",-2.57,43.31
"Neovison vison",1.86,41.86
"Neovison vison",-2.57,42.95
"Neovison vison",1.86,41.68
"Neovison vison",2.34,41.69
"Neovison vison",1.61,41.86
"Neovison vison",2.22,41.5
"Neovison vison",-3.78,41.95
"Neovison vison",-3.91,42.4
"Neovison vison",-4.15,42.22
"Neovison vison",-4.14,41.59
"Neovison vison",1.49,41.95
"Neovison vison",1.86,41.5
"Neovison vison",-3.66,41.59
"Neovison vison",2.33,42.14
"Neovison vison",-3.91,42.13
"Neovison vison",-3.9,41.77
"Neovison vison",1.73,41.95
"Neovison vison",2.1,41.41
"Neovison vison",1.49,42.13
"Neovison vison",-2.45,43.31
"Neovison vison",1.61,42.04
"Neovison vison",-3.66,41.78
"Neovison vison",1.85,42.22
"Neovison vison",-2.45,42.86
"Neovison vison",1.85,41.95
"Neovison vison",2.21,42.13
"Neovison vison",1.86,41.77
"Neovison vison",-2.57,43.22
"Neovison vison",1.61,41.95
"Neovison vison",1.85,42.04
"Neovison vison",1.86,41.59
"Neovison vison",1.73,42.13
"Neovison vison",1.74,41.77
"Neovison vison",1.98,41.5
"Neovison vison",-2.32,43.22
"Neovison vison",1.49,42.04
"Neovison vison",1.73,42.04
"Neovison vison",1.61,42.13
